x,y,z
18.43166,28.53138,9.23007
18.436,7.41603,20.15599
18.47218,41.18469,17.67031
18.50016,41.26902,13.63499
18.53786,41.02581,12.11027
18.54276,14.96088,43.17152
18.55022,14.01351,0.58603
18.5547,22.20778,4.30143
18.5624,44.17711,11.10482
18.57214,41.47274,20.61836
18.58296,12.17536,34.47965
18.60226,13.61137,11.23158
18.60805,31.89587,42.80109
18.60918,5.26629,11.93705
18.61789,41.59052,11.92935
18.66664,40.43428,10.99202
18.67122,42.40899,15.99326
18.67475,41.66016,12.88718
18.68227,5.95333,18.2414
18.688,42.20716,14.01216
18.69167,41.94233,24.23344
18.71472,39.24922,14.34422
18.75507,36.30027,13.61048
18.75992,42.63768,9.88264
18.76591,37.86062,18.43937
